ID,S Leitsatz 1,S Leitsatz 2,S Leitsatz 3,S Leitsatz 4,S Leitsatz 5,S Leitsatz 6,L Leitsatz 1,L Leitsatz 2,L Leitsatz 3,L Leitsatz 4,L Leitsatz 5,x,y,cluster
1602053439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0145055129943,2.7854899018401733,0.0
140262183,2.0,2.0,2.0,2.0,2.0,-1.0,0.0,-2.0,2.0,1.0,-2.0,-0.7605611176040203,4.452485988806744,1.0
1625313882,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,0.0,-2.7797601354856667,0.7445320337103378,1.0
1974612600,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.7949413013502813,-0.44735064182860773,1.0
756045323,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-2.900084046757037,-0.8676904631848953,1.0
2027790384,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,-2.5969369346834474,1.3178758041271208,1.0
809298633,-2.0,1.0,1.0,2.0,2.0,2.0,2.0,-2.0,1.0,1.0,2.0,0.8804751408932443,0.13266951470758545,1.0
1706994662,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,-3.183026684435283,-0.019116093889521277,1.0
240842736,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,-3.143726711396161,0.014419290284607382,1.0
1247879003,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-2.240454093568587,1.8692301992804559,1.0
291095922,-2.0,-1.0,-1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.755566709662665,-3.027463750231274,0.0
1656863262,1.0,1.0,1.0,-1.0,1.0,2.0,-2.0,1.0,-1.0,-1.0,-2.0,0.8716811450094889,4.7934469783311995,1.0
413135575,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-3.391646529185007,-0.48687836131018036,1.0
529964454,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-3.391646529185007,-0.48687836131018036,1.0
594020145,-1.0,2.0,1.0,1.0,1.0,1.0,2.0,-1.0,1.0,1.0,2.0,-0.07068196945588832,0.8298652126878283,1.0
141208166,-2.0,-2.0,-2.0,2.0,2.0,-2.0,-2.0,2.0,2.0,2.0,2.0,4.296993581820225,-1.6636856936992326,0.0
1995658185,-1.0,2.0,-2.0,2.0,2.0,0.0,2.0,1.0,2.0,1.0,2.0,1.0115735111376662,-1.3112551292586603,1.0
15917255,-1.0,2.0,2.0,-1.0,-1.0,2.0,2.0,2.0,2.0,2.0,2.0,-1.5100349470049375,-0.04918097585732094,1.0
1800836712,-1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,-0.6518036748231654,-1.666291435777226,1.0
1048638492,-2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-1.0,2.0,-0.9469644196216697,-1.24061116725113,1.0
1893246827,-2.0,-2.0,-2.0,2.0,2.0,1.0,1.0,2.0,2.0,-2.0,1.0,3.967557259206336,-1.4891736009361773,0.0
5104517,-1.0,2.0,2.0,2.0,-2.0,2.0,2.0,2.0,2.0,2.0,2.0,-1.7203892760374777,-0.7842863993289035,1.0
592430460,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,-1.3829875746008842,-0.4656260309497974,1.0
512044482,-1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-0.8566379788558327,-1.96842699407507,1.0
1134344752,-2.0,-1.0,-1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.755566709662665,-3.027463750231274,0.0
1950751929,-2.0,2.0,-2.0,1.0,2.0,2.0,0.0,-1.0,2.0,1.0,2.0,2.164258887550665,-0.01692072313117142,1.0
1371828903,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,0.0,2.0,-2.8678574385847018,0.3282675980262705,1.0
1360059996,-2.0,-2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.6256367072326442,-2.679658687692887,1.0
948541006,-2.0,1.0,1.0,2.0,-1.0,1.0,2.0,2.0,2.0,1.0,2.0,0.10727138949907733,-1.3353756571060624,1.0
1975760484,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.1417601917093831,-0.45707477991878737,1.0
1246588350,-1.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,-1.1645620014996079,-1.4989084560562644,1.0
901676612,-1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,-1.4563981720731511,-0.7225111984356679,1.0
2080001060,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,-1.0,-2.1053220561853787,0.9679275309535453,1.0
1344427490,-2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-1.4253965994731264,-2.0101267688090405,1.0
734856438,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-3.391646529185007,-0.48687836131018036,1.0
508559587,-1.0,-1.0,-2.0,2.0,2.0,1.0,1.0,-1.0,2.0,1.0,-1.0,3.515530585787119,0.6447169907668144,0.0
688247290,-1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-1.9169590819010967,-1.6293146669343255,1.0
1871687553,1.0,2.0,2.0,-1.0,-1.0,1.0,1.0,2.0,2.0,2.0,2.0,-2.122883469582804,1.1381658238103056,1.0
1916350990,-1.0,-1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,-0.24304272357304885,-1.604752375738209,1.0
374592858,-1.0,-1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,-0.24304272357304885,-1.604752375738209,1.0
337568611,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,-3.342504077719102,-0.2756212944088247,1.0
613320206,-1.0,1.0,-1.0,-1.0,1.0,2.0,-2.0,-2.0,-2.0,-2.0,-1.0,3.8040790510502753,5.243315960364355,0.0
448187892,-2.0,-2.0,-1.0,-1.0,1.0,2.0,-1.0,2.0,2.0,1.0,-1.0,3.7813948669404507,0.4026619380561862,0.0
2128445438,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-2.0,-1.0,1.0,0.0,2.56359710536993,3.738474203109559,0.0
924848662,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-3.391646529185007,-0.48687836131018036,1.0
1784442773,-1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,-1.2337549272335557,-1.2743327839951069,1.0
527705897,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,-1.8466034498114223,-0.08698598432748005,1.0
943861874,-1.0,-1.0,-1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.5119240450235405,-2.1453539967617714,0.0
1420199923,-1.0,2.0,2.0,2.0,2.0,2.0,1.0,-1.0,2.0,2.0,2.0,-0.968365324501891,0.1767138461478818,1.0
1626167670,1.0,1.0,1.0,1.0,1.0,1.0,-2.0,2.0,2.0,2.0,1.0,-0.5758587799519198,1.077696789285521,1.0
520743623,2.0,1.0,2.0,2.0,-1.0,2.0,1.0,1.0,1.0,2.0,1.0,-2.040829322322376,1.4288149517649034,1.0
2073652624,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,-3.143726711396161,0.014419290284607382,1.0
1296621318,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.9302805140406051,-0.5069345398894998,1.0
1493704064,1.0,-1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,-0.2844924547969951,-0.8593409533300632,1.0
1690958117,2.0,-1.0,1.0,2.0,-1.0,2.0,2.0,2.0,2.0,0.0,1.0,-0.6959432007364491,0.41168403229025635,1.0
1909769531,-1.0,2.0,2.0,1.0,2.0,1.0,1.0,-1.0,2.0,2.0,2.0,-0.716424259423669,0.6157550472258804,1.0
1697866147,-1.0,0.0,-1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,-1.0,1.9355338321790638,0.25144004455768165,1.0
553568918,-2.0,-2.0,-2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,3.3456416482698224,-2.6843482809345187,0.0
1645990850,1.0,-2.0,1.0,2.0,2.0,2.0,1.0,-2.0,2.0,1.0,1.0,1.197986435874482,1.2805387141482045,1.0
1030061321,0.0,2.0,1.0,-1.0,1.0,1.0,-2.0,-1.0,2.0,-1.0,1.0,0.7981348626832327,3.768584550389334,1.0
1064136508,-1.0,1.0,0.0,2.0,1.0,0.0,2.0,-1.0,2.0,1.0,2.0,0.9741883721200635,0.07867295595087455,1.0
142866646,-1.0,-2.0,0.0,1.0,2.0,2.0,-2.0,0.0,2.0,2.0,2.0,2.6308755560834927,-0.11571358081914047,0.0
